Bernal Díaz,Fedex,Bernal Díaz  23,Esq Sahagun y Orozco,Col. Buenavista,Cuauhtemoc,Distrito Federal,06350,08:00,21:00,,,09:00,15:00,,,,5552288050,,,,19.4404252,-99.1542623,Fedex,MUGD
Rio Tiber,Fedex,Rio Danubio Núm. 63,Rio Danubio Esq. Rio Nazas,Col. Cuauhtemoc,México,Distrito Federal,06500,09:00,18:00,,,,,,,,5552081736,,,,19.4314874,-99.1685232,Fedex,MUGK
Reforma 219,Fedex,Av. Paseo de La Reforma Núm. 219-L,Rio Amazonas y Rio Guadiana,Col. Cuauhtemoc,México,Distrito Federal,06500,09:00,18:00,,,10:00,14:00,,,,5555358034,,,,19.4300262,-99.1625316,Fedex,MUGL
Ciudad de México: Reforma,Fedex,Av. Paseo de la Reforma  Núm 308,Amberes y Belgrado,Col. Juárez,México,Distrito Federal,06600,09:00,21:30,,,09:00,14:00,,,,18009001100,,,,19.4273278,-99.165772,Fedex,MEXC
Hamburgo,Fedex,Hamburgo Núm. 254,Hamburgo y Sevilla,Col. Juarez,México,Distrito Federal,06600,09:30,19:00,,,10:00,14:00,,,,5555119006,,,,19.4233698,-99.1705256,Fedex,MUGM
Chapultepec,Fedex,Sinaloa Núm. 203-A,Esq. Sonora,Col. Roma Norte,México,Distrito Federal,06700,10:00,19:00,,,10:00,15:00,,,,5552862148,,,,19.4195488,-99.1730532,Fedex,MUGT
Roma Puebla,Fedex,Puebla Núm. 46,Frontera y Morelia,Col. Roma,México,Distrito Federal,06700,09:00,19:00,,,09:00,14:00,,,,5555146863,,,,19.4235331,-99.1564144,Fedex,MUGJ
Roma Zacatecas,Fedex,Merida Núm. 156,Zactecas y Guanajuato,Col. Roma Norte,México,Distrito Federal,06700,09:00,19:00,,,09:00,14:00,,,,5552644993,,,,19.4166814,-99.1566788,Fedex,MUGF
Fray Servando,Fedex,Fray Servando T. de Mier # 285. local 3,Clavijero y Xocongo,Col. Tránsito,Cuauhtemoc,Distrito Federal,06820,09:00,19:00,,,09:00,15:00,,,,5554910125,,,,19.4230642,-99.1301186,Fedex,MUGQ
Central Norte,Fedex,Av Hospital Benito Juarez S/N,A Espaldas de la Central C. Norte,Col. Maximino Avila,México,Distrito Federal,07380,09:00,21:30,,,09:00,15:00,,,,5555878223,,,,19.4818605,-99.1378011,Fedex,MUGU
Norte 35,Fedex,Norte 35 Núm. 1015,Clz. Montevideo y Vallejo,Industrial Vallejo,México,Distrito Federal,07750,09:00,19:30,,,09:00,15:00,,,,5553685003,,,,19.4969587,-99.1526499,Fedex,MUGC
