Reforma 219,Fedex,Av. Paseo de La Reforma #219-L,Rio Amazonas y Rio Guadiana,Cuauhtemoc,México,Distrito Federal,06500,09:00,18:00,,,10:00,14:00,,,,5555358034,,,,19.4300262,-99.1625316,Fedex,MUGL
Ciudad de México: Reforma,Fedex,Av. Paseo de la Reforma  #308,Amberes y Belgrado,Juárez,México,Distrito Federal,06600,09:00,21:30,,,09:00,14:00,,,,18009001100,,,,19.4273278,-99.165772,Fedex,MEXC
Hamburgo,Fedex,Hamburgo #254,Hamburgo y Sevilla,Juarez,México,Distrito Federal,06600,09:30,19:00,,,10:00,14:00,,,,5555119006,,,,19.4233698,-99.1705256,Fedex,MUGM
Chapultepec,Fedex,Sinaloa #203-A,Esq. Sonora,Roma Norte,México,Distrito Federal,06700,10:00,19:00,,,10:00,15:00,,,,5552862148,,,,19.4195488,-99.1730532,Fedex,MUGT
Roma Puebla,Fedex,Puebla #46,Frontera y Morelia,Roma,México,Distrito Federal,06700,09:00,19:00,,,09:00,14:00,,,,5555146863,,,,19.4235331,-99.1564144,Fedex,MUGJ
Roma Zacatecas,Fedex,Merida #156,Zactecas y Guanajuato,Roma Norte,México,Distrito Federal,06700,09:00,19:00,,,09:00,14:00,,,,5552644993,,,,19.4166814,-99.1566788,Fedex,MUGF
Fray Servando,Fedex,Fray Servando T. de Mier # 285,Local 3; Clavijero y Xocongo,Tránsito,Cuauhtemoc,Distrito Federal,06820,09:00,19:00,,,09:00,15:00,,,,5554910125,,,,19.4230642,-99.1301186,Fedex,MUGQ
Central Norte,Fedex,Av Hospital Benito Juarez S/N,A Espaldas de la Central C. Norte,Maximino Avila,México,Distrito Federal,07380,09:00,21:30,,,09:00,15:00,,,,5555878223,,,,19.4818605,-99.1378011,Fedex,MUGU
Norte 35,Fedex,Norte 35 #1015,Clz. Montevideo y Vallejo,Industrial Vallejo,México,Distrito Federal,07750,09:00,19:30,,,09:00,15:00,,,,5553685003,,,,19.4969587,-99.1526499,Fedex,MUGC
Misterios,Fedex,Calzada Misterios #382,Progreso y Robles Dominguez,Industrial,México,Distrito Federal,07800,09:00,19:30,,,08:00,15:00,,,,5555177213,,,,19.4687955,-99.1251054,Fedex,MUGN
Granjas Plutarco,Fedex,Av. Plutarco Elias Calles 325,Brea y Eje 3,Granjas Mexico,México,Distrito Federal,08400,09:00,18:00,,,09:00,15:00,,,,5556493244,,,,19.3987008,-99.1130892,Fedex,CZACA
Agricola Oriental,Fedex,Sur 8 #203,Sur 4 y Sur 12,AgriOriental,México,Distrito Federal,08500,09:00,19:00,,,09:00,14:00,,,,5536029830,,,,19.401184,-99.0778385,Fedex,AZPO
Iztapalapa granjas,Fedex,Av.5 #329,Calle 10 y Calle 11,Granjas San Antonio,México,Distrito Federal,09070,09:00,18:00,,,09:00,14:00,,,,5556971173,,,,19.3694718,-99.1081109,Fedex,CZAU
